ART,DATUM,DRAENG,LANG,BREIT,TIEF,PANZ,PS,KNOTEN,RADIUS,MANN,KLASSE
1,1916,33.0,187.0,31.0,9.4,2.0,40.0,22.0,42.0,1100.0,Resolution (Gb)
1,1915,37.4,242.0,31.0,9.6,3.0,112.0,29.0,36.0,1200.0,Repulse (Gb)
1,1916,46.2,262.0,32.0,8.7,1.0,150.0,31.0,40.0,1400.0,Hood (Gb)
1,1922,38.0,216.0,32.0,9.0,1.0,46.0,23.0,50.0,1350.0,Nelson (Gb)
1,1912,36.0,195.0,32.0,9.7,3.0,82.0,25.0,50.0,1120.0,Warspite (Gb)
1,1937,45.0,227.0,31.0,11.0,1.0,152.0,29.0,63.0,1600.0,King George V. (Gb)
3,1925,10.0,193.0,20.0,5.2,5.0,80.0,32.2,100.0,650.0,London (Gb)
3,1927,8.3,175.0,17.0,5.2,4.0,80.0,32.5,100.0,650.0,York (Gb)
3,1924,10.0,192.0,21.0,5.0,4.0,80.0,32.0,100.0,680.0,Kent (Gb)
4,1916,4.1,137.0,13.0,4.3,4.0,40.0,29.0,20.0,420.0,Caledon (Gb)
4,1916,4.3,137.0,13.0,4.3,4.0,40.0,29.0,20.0,420.0,Ceres (Gb)
4,1916,9.8,184.0,20.0,5.3,4.0,55.0,29.5,54.0,730.0,Hawkins (Gb)
4,1918,4.85,144.0,15.0,5.0,4.0,40.0,29.0,23.0,460.0,Dauntless (Gb)
4,1918,7.55,174.0,17.0,5.0,4.0,80.0,33.0,38.0,572.0,Emerald (Gb)
4,1922,6.74,159.0,18.0,6.0,4.0,80.0,33.0,38.0,572.0,Adventure (Gb)
4,1934,9.1,178.0,19.0,5.2,4.0,75.0,32.5,100.0,700.0,Southampton (Gb)
4,1937,5.45,154.0,16.0,4.3,5.0,62.0,32.3,100.0,650.0,Dido (Gb)
4,1931,7.175,169.0,17.0,4.9,4.0,72.0,32.5,120.0,550.0,Neptune (Gb)
4,1933,5.22,152.0,15.5,4.2,4.0,64.0,32.5,120.0,550.0,Arethusa (Gb)
4,1938,8.0,168.0,19.0,5.0,4.0,80.0,33.0,120.0,580.0,Fiji (Gb)
5,1916,1.09,95.0,9.0,3.4,6.0,27.0,34.0,40.0,150.0,Vanoc (Gb)
5,1928,1.35,98.0,10.0,2.5,6.0,34.0,35.0,50.0,138.0,Acasta (Gb)
5,1929,1.36,98.0,10.0,2.5,6.0,34.0,35.0,50.0,139.0,Beagle (Gb)
5,1933,1.475,105.0,10.0,2.7,6.0,38.0,36.0,60.0,175.0,Exmouth (Gb)
5,1934,1.335,98.0,10.0,2.6,6.0,34.0,35.5,60.0,145.0,Greyhound (Gb)
5,1937,1.695,106.0,11.0,2.9,6.0,40.0,36.0,60.0,183.0,Jervis (Gb)
1,1910,29.0,170.0,32.3,9.7,1.0,28.0,19.2,80.0,1330.0,Arkansas (USA)
1,1911,30.0,175.0,32.3,9.6,1.0,28.1,21.0,90.0,1314.0,Texas (USA)
1,1912,34.0,178.0,33.0,9.9,1.0,26.5,20.5,100.0,1301.0,Nevada (USA)
1,1913,36.5,185.0,32.4,10.2,1.0,31.5,21.0,80.0,1358.0,Pennsylvania (USA)
1,1915,35.1,191.0,32.4,10.4,1.0,40.0,21.5,90.0,1323.0,Mississippi (USA)
1,1916,35.19,190.0,29.7,10.7,1.0,26.8,21.0,100.0,1480.0,California (USA)
1,1917,33.59,190.0,29.7,10.7,1.0,27.3,21.0,80.0,1407.0,Maryland (USA)
1,1940,57.5,271.0,33.0,11.0,1.0,212.0,33.0,150.0,2900.0,Iowa (USA)
